,TEAM,YEAR,W,L,FINISH,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,FLD%,BATAGE,RA/G,ERA,CG,TSHO,SV,IP,H_A,R_A,ER,HR_A,BB_A,KS,WHIP,SO9,HR9,PAGE
118,PHI,1904,52,100,8,3.68,155,5683,5103,571,1268,170,54,23,469,159.0,,377,528,0.248,0.305,0.316,0.622,403,93,0.937,27.9,5.06,3.39,131,10,2,1339.1,1418,784,505,22,425,469,1.376,3.15,0.15,28.6
119,PHI,1903,49,86,7,4.44,139,5333,4781,617,1283,186,62,12,500,120.0,,337,431,0.268,0.322,0.341,0.662,300,76,0.947,29.0,5.31,3.96,126,5,3,1212.1,1347,738,534,21,425,381,1.462,2.83,0.16,28.2
120,PHI,1902,56,81,7,3.51,138,5149,4615,484,1139,110,43,5,389,108.0,,356,480,0.247,0.305,0.293,0.598,305,81,0.946,27.2,4.7,3.5,118,8,3,1211.0,1323,649,471,12,334,504,1.368,3.75,0.09,26.4
121,PHI,1901,83,57,2,4.77,140,5424,4793,668,1275,194,58,24,552,199.0,,430,550,0.266,0.334,0.346,0.68,262,65,0.954,28.5,3.88,2.87,125,15,2,1246.2,1221,543,397,19,259,480,1.187,3.47,0.14,25.9
122,PHI,1900,75,63,3,5.74,141,5594,4969,810,1439,187,82,29,694,205.0,,440,377,0.29,0.356,0.378,0.734,330,125,0.945,27.1,5.62,4.12,116,7,3,1248.2,1506,792,572,29,402,284,1.528,2.05,0.21,27.0
123,PHI,1899,94,58,3,5.95,154,5986,5353,916,1613,241,83,31,787,212.0,,441,337,0.301,0.363,0.395,0.757,379,110,0.94,26.6,4.82,3.47,129,15,2,1333.1,1398,743,514,17,370,281,1.326,1.9,0.11,25.5
124,PHI,1898,78,71,6,5.49,150,5779,5118,823,1431,238,81,33,706,182.0,,472,380,0.28,0.348,0.377,0.726,379,102,0.937,25.6,5.23,3.72,129,10,0,1288.1,1440,784,533,23,399,325,1.427,2.27,0.16,24.7
125,PHI,1897,55,77,10,5.65,134,5294,4756,752,1392,213,83,40,633,163.0,,399,302,0.293,0.353,0.398,0.75,296,72,0.944,26.9,5.91,4.6,115,4,2,1155.1,1415,792,591,28,364,253,1.54,1.97,0.22,24.6
126,PHI,1896,62,68,8,6.85,130,5273,4680,890,1382,234,84,49,778,191.0,,438,297,0.295,0.363,0.413,0.776,313,112,0.941,28.3,6.85,5.2,107,3,2,1117.0,1473,891,645,39,387,243,1.665,1.96,0.31,23.7
127,PHI,1895,78,53,3,8.03,133,5689,5037,1068,1664,272,73,61,930,276.0,,463,262,0.33,0.394,0.45,0.844,369,93,0.933,28.3,7.2,5.47,106,2,7,1161.0,1467,957,705,36,485,330,1.681,2.56,0.28,22.2
128,PHI,1894,71,57,4,8.93,132,5778,5088,1179,1780,258,137,40,1009,285.0,,510,254,0.35,0.415,0.478,0.893,351,114,0.934,27.5,7.54,5.63,103,3,4,1151.2,1522,995,720,62,479,266,1.737,2.08,0.48,23.8
129,PHI,1893,72,57,4,7.6,133,5690,5151,1011,1553,246,90,80,865,202.0,,468,335,0.301,0.368,0.431,0.798,318,121,0.944,26.8,6.32,4.68,107,4,2,1189.0,1357,841,618,30,522,286,1.58,2.16,0.23,25.0
130,PHI,1892,87,66,4,5.55,155,5995,5413,860,1420,225,95,50,693,216.0,,528,515,0.262,0.334,0.367,0.701,393,128,0.939,27.1,4.45,2.93,131,10,5,1379.0,1309,690,449,24,492,511,1.306,3.34,0.16,25.8
131,PHI,1891,68,69,4,5.48,138,5469,4929,756,1244,180,51,21,617,232.0,,482,412,0.252,0.326,0.322,0.649,443,108,0.925,25.9,5.6,3.73,105,3,5,1229.1,1279,773,510,30,507,342,1.453,2.5,0.22,24.0
132,PHI,1890,78,53,3,6.19,133,5293,4707,823,1267,220,78,23,632,335.0,,522,403,0.269,0.35,0.364,0.714,398,122,0.929,24.8,5.32,3.32,122,9,2,1194.2,1210,707,441,22,486,507,1.42,3.82,0.17,23.2
133,PHI,1889,63,64,4,5.71,130,5123,4695,742,1248,215,52,44,605,269.0,,393,353,0.266,0.327,0.362,0.689,466,92,0.915,26.3,5.75,4.0,106,4,2,1153.1,1288,748,513,33,428,443,1.488,3.46,0.26,25.1
134,PHI,1888,69,61,3,4.08,132,4847,4528,535,1021,151,46,16,418,246.0,,268,485,0.225,0.276,0.29,0.566,424,70,0.923,26.5,3.86,2.38,125,16,3,1167.0,1072,509,309,26,196,519,1.087,4.0,0.2,24.6
135,PHI,1887,75,48,2,7.04,128,5067,4630,901,1269,213,89,47,702,355.0,,385,346,0.274,0.337,0.389,0.726,471,76,0.912,26.0,5.48,3.47,119,7,1,1132.2,1173,702,437,48,305,435,1.305,3.46,0.38,24.4
136,PHI,1886,71,43,4,5.22,119,4354,4072,621,976,145,66,26,424,226.0,,282,516,0.24,0.289,0.327,0.616,393,46,0.921,25.5,4.18,2.45,110,10,2,1045.2,923,498,285,29,264,540,1.135,4.65,0.25,22.8
137,PHI,1885,56,54,3,4.62,111,4113,3893,513,891,156,35,20,327,,,220,401,0.229,0.27,0.302,0.572,447,66,0.905,24.7,4.6,2.39,108,10,0,976.0,860,511,259,18,218,378,1.105,3.49,0.17,22.3
138,PHI,1884,39,73,6,4.86,113,4207,3998,549,934,149,39,14,343,,,209,512,0.234,0.272,0.301,0.573,536,67,0.888,25.1,7.29,3.93,106,3,1,981.0,1090,824,428,37,254,411,1.37,3.77,0.34,20.9
139,PHI,1883,17,81,8,4.41,99,3717,3576,437,859,181,48,3,299,,,141,355,0.24,0.269,0.32,0.589,639,62,0.858,26.5,8.96,5.34,91,3,0,864.2,1267,887,513,20,125,253,1.61,2.63,0.21,21.3
