,TEAM,YEAR,W,L,FINISH,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,E,DP,FLD%,RA/G,ERA,CG,TSHO,SV,IP,H_A,R_A,ER,HR_A,BB_A,KS,WHIP,SO9,HR9,PAGE
95,PHI,1927,51,103,8,155,38.5,34.3,4.37,9.59,1.39,0.3,0.37,3.98,0.44,,2.8,3.11,0.28,0.337,0.37,0.707,1.09,0.98,0.972,5.83,5.36,0.52,0.03,0.04,8.74,11.03,5.83,5.21,0.54,2.98,2.43,1.603,2.5,0.56,29.8
96,PHI,1926,58,93,8,152,38.5,34.57,4.52,9.73,1.61,0.33,0.49,4.16,0.31,,2.78,3.15,0.281,0.337,0.39,0.727,1.47,1.01,0.964,5.92,5.03,0.45,0.03,0.03,8.78,11.18,5.92,4.91,0.45,2.99,2.18,1.614,2.23,0.46,29.0
97,PHI,1925,68,85,6,153,39.5,35.37,5.31,10.44,1.88,0.38,0.65,4.78,0.31,0.39,2.98,3.54,0.295,0.354,0.425,0.779,1.38,0.96,0.966,6.08,5.02,0.45,0.05,0.06,8.83,11.46,6.08,4.93,0.76,2.9,2.42,1.627,2.47,0.78,30.8
98,PHI,1924,55,96,7,152,38.5,34.91,4.45,9.6,1.68,0.37,0.62,4.05,0.38,0.44,2.51,2.97,0.275,0.328,0.397,0.725,1.15,1.11,0.972,5.59,4.87,0.39,0.05,0.07,8.91,11.13,5.59,4.82,0.55,3.09,2.3,1.595,2.32,0.56,30.0
99,PHI,1923,50,104,8,155,39.1,35.43,4.83,9.86,1.67,0.25,0.72,4.37,0.45,0.47,2.67,3.59,0.278,0.333,0.401,0.734,1.4,1.11,0.966,6.5,5.34,0.44,0.02,0.05,8.88,11.62,6.5,5.26,0.65,3.54,2.48,1.707,2.51,0.65,28.5
100,PHI,1922,57,96,7,154,39.6,35.45,4.79,9.98,1.74,0.36,0.75,4.45,0.31,0.39,2.92,3.97,0.282,0.341,0.415,0.756,1.46,0.99,0.965,5.97,4.64,0.46,0.04,0.03,8.91,10.99,5.97,4.59,0.58,2.99,2.56,1.569,2.58,0.58,26.2
101,PHI,1921,51,103,8,154,37.4,34.6,4.01,9.82,1.55,0.32,0.57,3.72,0.43,0.52,1.91,3.99,0.284,0.324,0.397,0.721,1.92,0.82,0.955,5.97,4.48,0.53,0.03,0.06,8.2,10.81,5.97,4.36,0.51,2.41,2.16,1.51,2.22,0.53,26.0
102,PHI,1920,62,91,8,153,37.5,34.41,3.69,9.05,1.5,0.35,0.42,3.16,0.65,0.54,1.85,3.47,0.263,0.305,0.364,0.669,1.52,0.88,0.964,4.67,3.63,0.51,0.05,0.07,9.02,9.67,4.67,3.64,0.23,2.9,2.74,1.394,2.73,0.23,26.3
103,PHI,1919,47,90,8,138,37.8,34.39,3.7,8.63,1.51,0.36,0.3,3.16,0.83,,2.34,3.4,0.251,0.303,0.342,0.645,1.58,0.81,0.963,5.07,4.14,0.67,0.04,0.01,9.07,10.08,5.07,4.17,0.29,2.96,2.88,1.437,2.85,0.29,27.7
104,PHI,1918,55,68,6,125,37.5,33.54,3.44,8.18,1.26,0.22,0.2,3.01,0.78,,2.77,3.2,0.244,0.305,0.313,0.618,1.69,0.77,0.961,4.06,3.15,0.62,0.08,0.05,9.12,8.69,4.06,3.19,0.18,2.95,2.5,1.277,2.46,0.17,27.7
105,PHI,1917,87,65,2,154,37.2,33.01,3.75,8.19,1.46,0.39,0.25,3.42,0.71,,2.82,3.46,0.248,0.31,0.339,0.649,1.38,0.73,0.967,3.25,2.46,0.66,0.14,0.03,9.02,8.17,3.25,2.46,0.16,2.11,4.0,1.14,3.99,0.16,28.3
106,PHI,1916,91,62,2,154,36.4,32.37,3.77,8.08,1.45,0.34,0.27,3.16,0.97,,2.59,3.71,0.25,0.31,0.341,0.651,1.52,0.77,0.963,3.18,2.36,0.63,0.16,0.06,8.98,8.04,3.18,2.35,0.18,1.92,3.9,1.109,3.91,0.18,28.5
107,PHI,1915,90,62,1,153,36.6,32.13,3.85,7.95,1.32,0.25,0.38,3.18,0.79,0.74,3.01,3.92,0.247,0.316,0.34,0.656,1.41,0.65,0.966,3.03,2.17,0.64,0.13,0.05,8.98,7.59,3.03,2.17,0.17,2.24,4.26,1.094,4.27,0.17,26.7
108,PHI,1914,74,80,6,154,37.5,33.18,4.23,8.73,1.37,0.34,0.4,3.67,0.94,,3.06,3.7,0.263,0.329,0.361,0.69,2.1,0.53,0.95,4.46,3.06,0.55,0.09,0.05,8.96,9.11,4.46,3.05,0.17,2.94,4.22,1.345,4.24,0.17,23.8
109,PHI,1913,88,63,2,159,37.8,33.96,4.36,9.01,1.62,0.49,0.46,3.75,0.98,0.77,2.41,3.64,0.265,0.318,0.382,0.7,1.35,0.7,0.968,4.0,3.15,0.48,0.13,0.07,9.15,8.85,4.0,3.21,0.25,3.22,4.19,1.319,4.12,0.25,25.0
110,PHI,1912,73,79,5,152,37.9,33.4,4.41,8.91,1.61,0.45,0.28,3.75,1.05,,3.05,4.05,0.267,0.332,0.367,0.699,1.52,0.64,0.963,4.53,3.25,0.53,0.07,0.06,8.91,9.09,4.53,3.22,0.28,3.39,4.05,1.399,4.09,0.29,25.4
111,PHI,1911,79,73,4,153,37.6,32.97,4.3,8.54,1.4,0.37,0.39,3.69,1.0,,3.2,3.84,0.259,0.328,0.359,0.687,1.51,0.74,0.963,4.37,3.3,0.59,0.13,0.07,8.98,8.4,4.37,3.29,0.28,3.91,4.56,1.371,4.57,0.28,27.3
112,PHI,1910,78,75,4,157,37.8,32.94,4.29,8.4,1.42,0.45,0.14,3.6,1.27,,3.22,3.56,0.255,0.327,0.338,0.665,1.64,0.84,0.96,4.07,3.05,0.54,0.11,0.06,8.99,8.26,4.07,3.05,0.23,3.48,4.18,1.307,4.19,0.23,28.7
113,PHI,1909,74,79,5,154,37.1,32.69,3.36,7.97,1.2,0.34,0.08,2.71,1.2,,2.39,3.18,0.244,0.302,0.309,0.611,1.56,0.63,0.962,3.37,2.44,0.58,0.11,0.04,9.03,7.73,3.37,2.45,0.15,3.06,3.97,1.195,3.96,0.15,27.3
114,PHI,1908,83,71,4,155,36.3,32.34,3.25,7.89,1.25,0.44,0.07,2.58,1.29,,2.15,3.41,0.244,0.298,0.316,0.614,1.54,0.48,0.963,2.87,2.1,0.75,0.14,0.04,8.99,7.53,2.87,2.1,0.05,2.45,3.07,1.11,3.08,0.05,26.4
115,PHI,1907,83,64,3,149,35.9,31.71,3.45,7.47,1.09,0.44,0.08,2.85,1.03,,2.85,3.49,0.236,0.304,0.305,0.609,1.72,0.7,0.957,3.19,2.43,0.74,0.14,0.03,8.72,7.35,3.19,2.36,0.09,2.83,3.35,1.168,3.46,0.09,26.6
116,PHI,1906,71,82,4,154,35.9,31.89,3.43,7.68,1.28,0.31,0.08,2.88,1.17,,2.81,3.48,0.241,0.307,0.307,0.614,1.76,0.54,0.956,3.66,2.58,0.7,0.14,0.03,8.79,7.8,3.66,2.52,0.12,2.83,3.25,1.209,3.32,0.12,27.2
117,PHI,1905,83,69,4,155,37.9,33.83,4.57,8.79,1.21,0.53,0.1,3.66,1.16,,2.62,3.96,0.26,0.318,0.336,0.654,1.77,0.64,0.957,3.89,2.81,0.77,0.08,0.03,9.02,8.41,3.89,2.82,0.14,2.65,3.33,1.225,3.32,0.14,30.0
118,PHI,1904,52,100,8,155,36.7,32.92,3.68,8.18,1.1,0.35,0.15,3.03,1.03,,2.43,3.41,0.248,0.305,0.316,0.621,2.6,0.6,0.937,5.06,3.39,0.85,0.06,0.01,8.64,9.15,5.06,3.26,0.14,2.74,3.03,1.376,3.15,0.15,28.6
119,PHI,1903,49,86,7,139,38.4,34.4,4.44,9.23,1.34,0.45,0.09,3.6,0.86,,2.42,3.1,0.268,0.322,0.341,0.663,2.16,0.55,0.947,5.31,3.96,0.91,0.04,0.02,8.72,9.69,5.31,3.84,0.15,3.06,2.74,1.462,2.83,0.16,28.2
120,PHI,1902,56,81,7,138,37.3,33.44,3.51,8.25,0.8,0.31,0.04,2.82,0.78,,2.58,3.48,0.247,0.305,0.293,0.598,2.21,0.59,0.946,4.7,3.5,0.86,0.06,0.02,8.78,9.59,4.7,3.41,0.09,2.42,3.65,1.368,3.75,0.09,26.4
121,PHI,1901,83,57,2,140,38.7,34.24,4.77,9.11,1.39,0.41,0.17,3.94,1.42,,3.07,3.93,0.266,0.334,0.346,0.68,1.87,0.46,0.954,3.88,2.87,0.89,0.11,0.01,8.91,8.72,3.88,2.84,0.14,1.85,3.43,1.187,3.47,0.14,25.9
122,PHI,1900,75,63,3,141,39.7,35.24,5.74,10.21,1.33,0.58,0.21,4.92,1.45,,3.12,2.67,0.29,0.356,0.378,0.734,2.34,0.89,0.945,5.62,4.12,0.82,0.05,0.02,8.86,10.68,5.62,4.06,0.21,2.85,2.01,1.528,2.05,0.21,27.0
123,PHI,1899,94,58,3,154,38.9,34.76,5.95,10.47,1.56,0.54,0.2,5.11,1.38,,2.86,2.19,0.301,0.363,0.395,0.758,2.46,0.71,0.94,4.82,3.47,0.84,0.1,0.01,8.2,9.08,4.82,3.34,0.11,2.4,1.82,1.326,1.9,0.11,25.5
124,PHI,1898,78,71,6,150,38.5,34.12,5.49,9.54,1.59,0.54,0.22,4.71,1.21,,3.15,2.53,0.28,0.348,0.377,0.725,2.53,0.68,0.937,5.23,3.72,0.86,0.07,0.0,8.59,9.6,5.23,3.55,0.15,2.66,2.17,1.427,2.27,0.16,24.7
125,PHI,1897,55,77,10,134,39.5,35.49,5.61,10.39,1.59,0.62,0.3,4.72,1.22,,2.98,2.25,0.293,0.353,0.398,0.751,2.21,0.54,0.944,5.91,4.6,0.86,0.03,0.01,8.62,10.56,5.91,4.41,0.21,2.72,1.89,1.54,1.97,0.22,24.6
126,PHI,1896,62,68,8,130,40.6,36.0,6.85,10.63,1.8,0.65,0.38,5.98,1.47,,3.37,2.28,0.295,0.363,0.413,0.776,2.41,0.86,0.941,6.85,5.2,0.82,0.02,0.02,8.59,11.33,6.85,4.96,0.3,2.98,1.87,1.665,1.96,0.31,23.7
127,PHI,1895,78,53,3,133,42.8,37.87,8.03,12.51,2.05,0.55,0.46,6.99,2.08,,3.48,1.97,0.33,0.394,0.45,0.844,2.77,0.7,0.933,7.2,5.47,0.8,0.02,0.05,8.73,11.03,7.2,5.3,0.27,3.65,2.48,1.681,2.56,0.28,22.2
128,PHI,1894,71,57,4,132,43.8,38.55,8.93,13.48,1.95,1.04,0.3,7.64,2.16,,3.86,1.92,0.35,0.415,0.478,0.893,2.66,0.86,0.934,7.54,5.63,0.78,0.02,0.03,8.73,11.53,7.54,5.45,0.47,3.63,2.02,1.737,2.08,0.48,23.8
129,PHI,1893,72,57,4,133,42.8,38.73,7.6,11.68,1.85,0.68,0.6,6.5,1.52,,3.52,2.52,0.301,0.368,0.431,0.799,2.39,0.91,0.944,6.32,4.68,0.8,0.03,0.02,8.94,10.2,6.32,4.65,0.23,3.92,2.15,1.58,2.16,0.23,25.0
130,PHI,1892,87,66,4,155,38.7,34.92,5.55,9.16,1.45,0.61,0.32,4.47,1.39,,3.41,3.32,0.262,0.334,0.367,0.701,2.54,0.83,0.939,4.45,2.93,0.85,0.06,0.03,8.9,8.45,4.45,2.9,0.15,3.17,3.3,1.306,3.34,0.16,25.8
131,PHI,1891,68,69,4,138,39.6,35.72,5.48,9.01,1.3,0.37,0.15,4.47,1.68,,3.49,2.99,0.252,0.326,0.322,0.648,3.21,0.78,0.925,5.6,3.73,0.76,0.02,0.04,8.91,9.27,5.6,3.7,0.22,3.67,2.48,1.453,2.5,0.22,24.0
132,PHI,1890,78,53,3,133,39.8,35.39,6.19,9.53,1.65,0.59,0.17,4.75,2.52,,3.92,3.03,0.269,0.35,0.364,0.714,2.99,0.92,0.929,5.32,3.32,0.92,0.07,0.02,8.98,9.1,5.32,3.32,0.17,3.65,3.81,1.42,3.82,0.17,23.2
133,PHI,1889,63,64,4,130,39.4,36.12,5.71,9.6,1.65,0.4,0.34,4.65,2.07,,3.02,2.72,0.266,0.327,0.362,0.689,3.58,0.71,0.915,5.75,4.0,0.82,0.03,0.02,8.87,9.91,5.75,3.95,0.25,3.29,3.41,1.488,3.46,0.26,25.1
134,PHI,1888,69,61,3,132,36.7,34.3,4.05,7.73,1.14,0.35,0.12,3.17,1.86,,2.03,3.67,0.225,0.276,0.29,0.566,3.21,0.53,0.923,3.86,2.38,0.95,0.12,0.02,8.84,8.12,3.86,2.34,0.2,1.48,3.93,1.087,4.0,0.2,24.6
135,PHI,1887,75,48,2,128,39.6,36.17,7.04,9.91,1.66,0.7,0.37,5.48,2.77,,3.01,2.7,0.274,0.337,0.389,0.726,3.68,0.59,0.912,5.48,3.47,0.93,0.05,0.01,8.85,9.16,5.48,3.41,0.38,2.38,3.4,1.305,3.46,0.38,24.4
136,PHI,1886,71,43,4,119,36.6,34.22,5.22,8.2,1.22,0.55,0.22,3.56,1.9,,2.37,4.34,0.24,0.289,0.327,0.616,3.3,0.39,0.921,4.18,2.45,0.92,0.08,0.02,8.79,7.76,4.18,2.39,0.24,2.22,4.54,1.135,4.65,0.25,22.8
137,PHI,1885,56,54,3,111,37.1,35.07,4.62,8.03,1.41,0.32,0.18,2.95,,,1.98,3.61,0.229,0.27,0.302,0.572,4.03,0.59,0.905,4.6,2.39,0.97,0.09,0.0,8.79,7.75,4.6,2.33,0.16,1.96,3.41,1.105,3.49,0.17,22.3
138,PHI,1884,39,73,6,113,37.2,35.38,4.86,8.27,1.32,0.35,0.12,3.04,,,1.85,4.53,0.234,0.272,0.301,0.573,4.74,0.59,0.888,7.29,3.93,0.94,0.03,0.01,8.68,9.65,7.29,3.79,0.33,2.25,3.64,1.37,3.77,0.34,20.9
139,PHI,1883,17,81,8,99,37.5,36.12,4.41,8.68,1.83,0.48,0.03,3.02,,,1.42,3.59,0.24,0.269,0.32,0.589,6.45,0.63,0.858,8.96,5.34,0.92,0.03,0.0,8.73,12.8,8.96,5.18,0.2,1.26,2.56,1.61,2.63,0.21,21.3
